query_target	query_conf	hit_uniprot	is_self	idf	node_count	min_rmsd	plddt	n_matched	best_pocket_rank	best_pocket_prob	overlap_count	overlap_frac	status	confidence
6VCJ	holo	Q86XF0	0	35.3184	10	0.3102	96.16	10	1	0.912	10	1.00	pocket_supported	high
6VCJ	holo	Q5TIA1	0	4.5547	10	1.7895	83.69	86	4	0.081	2	0.02	pocket_supported	medium
6VCJ	holo	Q502W7	0	4.0813	8	2.3612	72.99	19	1	0.034	1	0.05	pocket_supported	medium
6VCJ	holo	Q9Y2G0	0	3.9818	10	2.3540	81.78	37	6	0.001	2	0.05	pocket_supported	medium
6VCJ	holo	Q6MZZ7	0	3.7675	8	2.1214	83.08	21	12	0.005	2	0.10	pocket_supported	medium
6VCJ	apo	Q86XF0	0	11.3509	7	0.3335	96.16	7	1	0.912	7	1.00	pocket_supported	high
6VCJ	apo	Q99569	0	2.8406	7	0.1630	58.04	16	1	0.709	1	0.06	pocket_supported	medium
6VCJ	apo	P11172	0	2.6235	5	0.0657	92.20	8	4	0.035	1	0.12	pocket_supported	medium
6VCJ	apo	Q1RMZ1	0	2.4575	6	0.1516	79.25	6	2	0.037	2	0.33	pocket_supported	medium
6VCJ	apo	P25092	0	2.4198	7	2.2433	80.00	14	4	0.363	1	0.07	pocket_supported	medium
6VCJ	apo	O60565	0	2.4167	5	1.3489	73.63	7	1	0.117	2	0.29	pocket_supported	medium
6VCJ	apo	Q16518	0	2.4119	5	0.4431	95.53	11	1	0.988	2	0.18	pocket_supported	medium
6VCJ	apo	Q86WI1	0	2.3606	6	1.2343	88.57	31	13	0.015	3	0.10	pocket_supported	medium
6VCJ	apo	Q9UBM4	0	2.3436	7	1.9196	74.39	14	1	0.417	3	0.21	pocket_supported	medium
6VCJ	apo	Q9H9S5	0	2.3136	5	0.1470	93.91	6	1	0.939	3	0.50	pocket_supported	medium
6VCJ	apo	P54098	0	2.2902	6	0.7441	78.98	15	13	0.142	2	0.13	pocket_supported	medium
6VCJ	apo	Q9BTT6	0	2.2796	4	1.9686	85.73	13	8	0.007	2	0.15	pocket_supported	medium
6VCJ	apo	Q8IXR9	0	2.2252	7	0.9187	70.70	10	1	0.903	2	0.20	pocket_supported	medium
6VCJ	apo	Q13564	0	2.2155	4	1.9415	96.30	20	3	0.051	1	0.05	pocket_supported	medium
6VCJ	apo	P23921	0	2.2007	5	0.6807	92.20	16	9	0.057	1	0.06	pocket_supported	medium
6VCJ	apo	Q9BW19	0	2.1472	4	1.3795	77.62	7	2	0.089	2	0.29	pocket_supported	medium
6VCJ	apo	O60512	0	2.1370	5	0.3854	88.21	6	1	0.948	1	0.17	pocket_supported	medium
6VCJ	apo	Q96TA1	0	2.1292	6	0.8990	79.49	14	10	0.080	2	0.14	pocket_supported	medium
6VCJ	apo	P51688	0	2.1029	5	1.3116	96.45	13	2	0.600	3	0.23	pocket_supported	medium
6VCJ	apo	A8MQ27	0	2.0931	5	0.1343	70.63	8	1	0.802	1	0.12	pocket_supported	medium
6VCJ	apo	Q9Y239	0	2.0799	6	0.8499	85.75	17	2	0.938	2	0.12	pocket_supported	medium
6VCJ	apo	Q9UHJ3	0	2.0737	4	0.3681	74.32	10	3	0.287	1	0.10	pocket_supported	medium
6VCJ	apo	Q9ULH4	0	2.0649	7	1.9073	69.32	9	1	0.076	2	0.22	pocket_supported	medium
6VCJ	apo	Q8IUC8	0	2.0464	5	1.2819	92.99	9	8	0.003	1	0.11	pocket_supported	medium
6VCJ	apo	Q8N3Y3	0	2.0461	5	1.5778	87.27	7	2	0.952	2	0.29	pocket_supported	medium
6VCJ	apo	Q10472	0	2.0409	5	1.2451	91.55	9	1	0.955	1	0.11	pocket_supported	medium
6VCJ	apo	P05091	0	2.0340	5	0.0814	96.03	6	1	0.964	4	0.67	pocket_supported	medium
6VCJ	apo	O95479	0	2.0271	6	0.5360	90.59	12	11	0.038	1	0.08	pocket_supported	medium
6VCJ	apo	Q8IYB8	0	2.0264	5	1.3328	83.05	13	2	0.738	1	0.08	pocket_supported	medium
6VCJ	apo	O75691	0	2.0202	6	0.4400	84.27	12	4	0.087	2	0.17	pocket_supported	medium
6VCJ	apo	Q96GW9	0	2.0148	6	0.9694	89.32	13	6	0.041	1	0.08	pocket_supported	medium
6VCJ	apo	Q9NSG2	0	1.9865	6	1.0602	86.72	7	1	0.435	2	0.29	pocket_supported	medium
6VCJ	apo	Q9P2V4	0	1.9818	4	0.9337	73.39	10	1	0.091	1	0.10	pocket_supported	medium
6VCJ	apo	O94829	0	1.9530	6	0.5453	90.49	18	1	0.310	2	0.11	pocket_supported	medium
6VCJ	apo	Q9NYU1	0	1.9478	6	0.7193	85.55	18	13	0.147	1	0.06	pocket_supported	medium
6VCJ	apo	Q9H790	0	1.9476	5	1.8986	80.00	10	3	0.311	1	0.10	pocket_supported	medium
6VCJ	apo	Q9UL01	0	1.9440	4	0.6107	86.57	10	16	0.031	1	0.10	pocket_supported	medium
6VCJ	apo	Q7LG56	0	1.9411	4	1.0899	85.48	9	2	0.115	1	0.11	pocket_supported	medium
6VCJ	apo	Q8IWT3	0	1.9116	6	0.8744	67.03	28	4	0.504	2	0.07	pocket_supported	medium
6VCJ	apo	Q8WUD6	0	1.8766	3	0.1609	90.88	8	7	0.031	2	0.25	pocket_supported	medium
6VCJ	apo	Q5T2Q4	0	1.8752	4	0.2072	68.50	6	3	0.044	1	0.17	pocket_supported	medium
6VCJ	apo	Q6ZRQ5	0	1.8601	6	1.0822	81.37	13	10	0.027	3	0.23	pocket_supported	medium
6VCJ	apo	Q8NB66	0	1.8590	6	0.8980	61.14	15	7	0.109	2	0.13	pocket_supported	medium
6VCJ	apo	Q9HC29	0	1.8575	7	0.9578	84.29	14	2	0.943	1	0.07	pocket_supported	medium
6VCJ	apo	Q15048	0	1.8476	5	0.8084	87.38	13	2	0.314	1	0.08	pocket_supported	medium
6VCJ	apo	Q13277	0	1.8380	3	1.1167	83.30	5	3	0.005	1	0.20	pocket_supported	low
6VCJ	apo	Q5TZF3	0	1.8327	4	0.4489	80.98	4	1	0.611	2	0.50	pocket_supported	medium
6VCJ	apo	Q9BSA9	0	1.8252	3	1.9792	81.73	5	5	0.021	1	0.20	pocket_supported	low
6VCJ	apo	O95166	0	1.8247	4	1.3804	94.74	5	1	0.041	3	0.60	pocket_supported	medium
6VCJ	apo	Q8NGQ2	0	1.8185	3	1.2000	86.69	5	1	0.554	1	0.20	pocket_supported	low
6VCJ	apo	P08709	0	1.8142	4	0.9950	82.17	10	1	0.305	1	0.10	pocket_supported	medium
1UEI	holo	Q9HA47	0	93.5451	20	0.6806	83.55	20	1	0.901	19	0.95	pocket_supported	high
1UEI	holo	Q9NWZ5	0	71.0112	19	2.0561	80.72	40	1	0.935	15	0.38	pocket_supported	medium
4U7Z	holo	P36507	0	44.9277	15	0.7825	81.62	67	1	0.925	24	0.36	pocket_supported	high
4U7Z	holo	Q92918	0	9.0693	13	2.1417	68.18	63	1	0.884	9	0.14	pocket_supported	medium
4U7Z	apo	Q96KB5	0	6.4812	8	1.1922	84.43	9	2	0.310	5	0.56	pocket_supported	high
4U7Z	apo	P49841	0	6.0930	7	2.3746	88.28	13	1	0.621	2	0.15	pocket_supported	medium
4U7Z	apo	Q8WTQ7	0	5.4179	7	2.2121	90.21	16	3	0.240	3	0.19	pocket_supported	medium
4U7Z	apo	Q8NG66	0	5.4060	9	1.9295	68.29	23	6	0.081	6	0.26	pocket_supported	medium
4U7Z	apo	Q15034	0	5.2443	11	2.1854	88.97	35	1	0.957	4	0.11	pocket_supported	medium
4U7Z	apo	P51955	0	4.9334	9	1.8664	78.03	32	2	0.466	4	0.12	pocket_supported	medium
4U7Z	apo	F8VTS6	0	4.4057	6	0.4927	90.78	12	3	0.012	2	0.17	pocket_supported	medium
4U7Z	apo	Q5VYK3	0	4.2656	11	1.2236	83.76	81	1	0.623	3	0.04	pocket_supported	medium
4U7Z	apo	P29376	0	4.2407	9	0.5621	73.64	17	1	0.282	2	0.12	pocket_supported	medium
4U7Z	apo	Q8IVH8	0	4.2309	8	1.8850	71.68	19	1	0.697	2	0.11	pocket_supported	medium
4U7Z	apo	Q9BXA7	0	4.1676	6	1.0271	80.30	14	1	0.537	4	0.29	pocket_supported	medium
4U7Z	apo	Q16512	0	3.9843	8	1.4824	72.03	18	1	0.910	6	0.33	pocket_supported	high
4U7Z	apo	Q9BXI2	0	3.9753	8	1.6164	88.48	14	1	0.888	4	0.29	pocket_supported	medium
4U7Z	apo	Q16566	0	3.9438	7	1.2038	70.63	15	1	0.514	3	0.20	pocket_supported	medium
4U7Z	apo	P0DI81	0	3.8893	6	0.6706	92.25	7	1	0.263	2	0.29	pocket_supported	medium
4U7Z	apo	P0DI82	0	3.8893	6	0.7588	92.34	10	1	0.186	1	0.10	pocket_supported	medium
4U7Z	apo	P0C629	0	3.7861	7	1.2188	82.73	15	4	0.018	2	0.13	pocket_supported	medium
4U7Z	apo	O95819	0	3.7833	10	1.7119	65.48	42	15	0.005	5	0.12	pocket_supported	medium
4U7Z	apo	Q2TAA5	0	3.7633	8	2.1925	91.35	29	1	0.940	5	0.17	pocket_supported	medium
4U7Z	apo	Q00169	0	3.7274	8	1.1293	95.38	11	1	0.992	3	0.27	pocket_supported	medium
4U7Z	apo	Q8NH55	0	3.7087	6	1.2713	83.30	14	1	0.987	1	0.07	pocket_supported	medium
1XBB	holo	Q96PN8	0	8.7853	9	2.0879	93.44	17	2	0.337	7	0.41	pocket_supported	medium
1XBB	holo	P00540	0	8.2238	9	2.4530	80.48	19	1	0.755	6	0.32	pocket_supported	medium
1XBB	holo	Q02779	0	7.9077	9	0.4720	60.27	19	1	0.623	6	0.32	pocket_supported	high
1XBB	holo	O43283	0	7.8717	10	1.6508	57.15	14	1	0.653	7	0.50	pocket_supported	high
1XBB	holo	O14733	0	7.1972	10	0.5658	77.28	18	1	0.724	6	0.33	pocket_supported	high
1XBB	holo	P54760	0	7.1780	10	1.6086	81.97	54	1	0.861	5	0.09	pocket_supported	medium
1XBB	holo	P29376	0	6.8185	10	1.5694	73.64	42	11	0.030	2	0.05	pocket_supported	medium
1XBB	holo	P31751	0	6.4439	10	0.4530	82.25	29	1	0.624	7	0.24	pocket_supported	medium
1XBB	holo	P31749	0	6.4186	9	0.4402	83.02	22	1	0.696	7	0.32	pocket_supported	high
1XBB	holo	P21709	0	6.1415	11	1.6414	80.40	49	1	0.708	6	0.12	pocket_supported	medium
1XBB	holo	Q02763	0	5.9424	11	0.4453	83.95	36	2	0.601	5	0.14	pocket_supported	medium
