query_target	query_conf	hit_uniprot	is_self	idf	node_count	min_rmsd	plddt	n_matched	best_pocket_rank	best_pocket_prob	overlap_count	overlap_frac	status	confidence
6VCJ	holo	Q86XF0	0	35.3184	10	0.3102	96.16	10	1	0.912	10	1.00	pocket_supported	high
6VCJ	holo	P00374	1	22.8706	10	0.4701	96.31	10	1	0.928	8	0.80	is_self	
6VCJ	holo	P22466	0	4.8812	6	1.0906	66.64	8			0	0.00	non_pocket	
6VCJ	holo	Q5TIA1	0	4.5547	10	1.7895	83.69	86	4	0.081	2	0.02	pocket_supported	medium
6VCJ	holo	Q502W7	0	4.0813	8	2.3612	72.99	19	1	0.034	1	0.05	pocket_supported	medium
6VCJ	holo	Q9Y2G0	0	3.9818	10	2.3540	81.78	37	6	0.001	2	0.05	pocket_supported	medium
6VCJ	holo	Q6MZZ7	0	3.7675	8	2.1214	83.08	21	12	0.005	2	0.10	pocket_supported	medium
6VCJ	holo	P43686	0	3.6771	6	1.7476	80.11	14			0	0.00	non_pocket	
6VCJ	apo	Q86XF0	0	11.3509	7	0.3335	96.16	7	1	0.912	7	1.00	pocket_supported	high
6VCJ	apo	P00374	1	5.0553	6	0.5143	96.31	7	1	0.928	5	0.71	is_self	
6VCJ	apo	Q9NPH6	0	3.2228	3	0.5504	87.11	4			0	0.00	non_pocket	
6VCJ	apo	Q99569	0	2.8406	7	0.1630	58.04	16	1	0.709	1	0.06	pocket_supported	medium
6VCJ	apo	P11172	0	2.6235	5	0.0657	92.20	8	4	0.035	1	0.12	pocket_supported	medium
6VCJ	apo	Q86WV5	0	2.5816	3	0.4137	93.38	4			0	0.00	non_pocket	
6VCJ	apo	P61457	0	2.4989	2	0.8787	96.48	3			0	0.00	non_pocket	
6VCJ	apo	Q1RMZ1	0	2.4575	6	0.1516	79.25	6	2	0.037	2	0.33	pocket_supported	medium
6VCJ	apo	Q96B49	0	2.4226	2	0.2109	70.38	2			0	0.00	non_pocket	
6VCJ	apo	P25092	0	2.4198	7	2.2433	80.00	14	4	0.363	1	0.07	pocket_supported	medium
6VCJ	apo	O60565	0	2.4167	5	1.3489	73.63	7	1	0.117	2	0.29	pocket_supported	medium
6VCJ	apo	Q16518	0	2.4119	5	0.4431	95.53	11	1	0.988	2	0.18	pocket_supported	medium
6VCJ	apo	Q86WI1	0	2.3606	6	1.2343	88.57	31	13	0.015	3	0.10	pocket_supported	medium
6VCJ	apo	Q9UBM4	0	2.3436	7	1.9196	74.39	14	1	0.417	3	0.21	pocket_supported	medium
6VCJ	apo	Q9H9S5	0	2.3136	5	0.1470	93.91	6	1	0.939	3	0.50	pocket_supported	medium
6VCJ	apo	P54098	0	2.2902	6	0.7441	78.98	15	13	0.142	2	0.13	pocket_supported	medium
6VCJ	apo	Q9BTT6	0	2.2796	4	1.9686	85.73	13	8	0.007	2	0.15	pocket_supported	medium
6VCJ	apo	Q9GZP0	0	2.2455	4	1.3507	73.25	5			0	0.00	non_pocket	
6VCJ	apo	Q8IXR9	0	2.2252	7	0.9187	70.70	10	1	0.903	2	0.20	pocket_supported	medium
6VCJ	apo	Q13564	0	2.2155	4	1.9415	96.30	20	3	0.051	1	0.05	pocket_supported	medium
6VCJ	apo	P23921	0	2.2007	5	0.6807	92.20	16	9	0.057	1	0.06	pocket_supported	medium
6VCJ	apo	Q9NTG7	0	2.2002	4	0.5450	75.36	10			0	0.00	non_pocket	
6VCJ	apo	O75558	0	2.1573	6	1.0825	78.84	7			0	0.00	non_pocket	
6VCJ	apo	Q9BW19	0	2.1472	4	1.3795	77.62	7	2	0.089	2	0.29	pocket_supported	medium
6VCJ	apo	O60512	0	2.1370	5	0.3854	88.21	6	1	0.948	1	0.17	pocket_supported	medium
6VCJ	apo	Q6PEZ8	0	2.1310	3	0.1964	86.89	18			0	0.00	non_pocket	
6VCJ	apo	Q96TA1	0	2.1292	6	0.8990	79.49	14	10	0.080	2	0.14	pocket_supported	medium
6VCJ	apo	P51688	0	2.1029	5	1.3116	96.45	13	2	0.600	3	0.23	pocket_supported	medium
6VCJ	apo	P27695	0	2.0959	2	0.6577	90.63	2			0	0.00	non_pocket	
6VCJ	apo	A8MQ27	0	2.0931	5	0.1343	70.63	8	1	0.802	1	0.12	pocket_supported	medium
6VCJ	apo	Q8N0T1	0	2.0840	2	0.2042	78.89	2			0	0.00	non_pocket	
6VCJ	apo	Q9Y239	0	2.0799	6	0.8499	85.75	17	2	0.938	2	0.12	pocket_supported	medium
6VCJ	apo	O15305	0	2.0777	4	0.7937	96.49	4			0	0.00	non_pocket	
6VCJ	apo	Q9UHJ3	0	2.0737	4	0.3681	74.32	10	3	0.287	1	0.10	pocket_supported	medium
6VCJ	apo	Q9ULH4	0	2.0649	7	1.9073	69.32	9	1	0.076	2	0.22	pocket_supported	medium
6VCJ	apo	Q8IUC8	0	2.0464	5	1.2819	92.99	9	8	0.003	1	0.11	pocket_supported	medium
6VCJ	apo	Q8N3Y3	0	2.0461	5	1.5778	87.27	7	2	0.952	2	0.29	pocket_supported	medium
6VCJ	apo	A0PJZ0	0	2.0452	3	0.5557	84.54	2			0	0.00	non_pocket	
6VCJ	apo	Q10472	0	2.0409	5	1.2451	91.55	9	1	0.955	1	0.11	pocket_supported	medium
6VCJ	apo	P31944	0	2.0365	6	0.6760	89.25	13			0	0.00	non_pocket	
6VCJ	apo	P05091	0	2.0340	5	0.0814	96.03	6	1	0.964	4	0.67	pocket_supported	medium
6VCJ	apo	O95479	0	2.0271	6	0.5360	90.59	12	11	0.038	1	0.08	pocket_supported	medium
6VCJ	apo	Q8IYB8	0	2.0264	5	1.3328	83.05	13	2	0.738	1	0.08	pocket_supported	medium
6VCJ	apo	O75691	0	2.0202	6	0.4400	84.27	12	4	0.087	2	0.17	pocket_supported	medium
6VCJ	apo	Q96GW9	0	2.0148	6	0.9694	89.32	13	6	0.041	1	0.08	pocket_supported	medium
6VCJ	apo	Q06828	0	1.9903	4	0.3932	86.56	6			0	0.00	non_pocket	
6VCJ	apo	Q9NSG2	0	1.9865	6	1.0602	86.72	7	1	0.435	2	0.29	pocket_supported	medium
6VCJ	apo	Q9UIL8	0	1.9851	6	1.0260	73.72	10			0	0.00	non_pocket	
