holo,apo,ligand,n_lig_atoms,holo_hit_strict,holo_hit_loose,holo_best_dca,holo_best_dcc,holo_closest_rank,holo_res_recall,holo_res_jaccard,holo_n_true_res,apo_hit_strict,apo_hit_loose,apo_best_dca,apo_best_dcc,apo_closest_rank,apo_res_recall,apo_res_jaccard,apo_n_true_res
6VCJ,1PDB,NPX,68,1,1,2.2,7.34,4,0.0,0.0,3,1,1,3.16,26.02,1,1.0,0.065,2
1UEI,1UFQ,UTP,58,1,1,1.33,6.96,1,0.4,0.2,15,2,1,0.62,12.76,2,0.75,0.429,4
1NHZ,7KW7,486,32,1,1,1.17,1.09,1,1.0,0.091,2,0,0,8.46,13.67,1,0.0,0.0,10
6L6E,2H40,E6L,34,1,1,2.04,4.4,1,1.0,0.097,3,1,1,2.56,4.95,1,1.0,0.1,3
4U7Z,9TYI,3EW,27,1,1,0.97,1.69,1,0.8,0.182,5,0,1,4.43,7.74,1,0.4,0.105,5
1XBB,1XBA,STI,37,1,1,0.75,4.37,1,1.0,0.158,3,1,1,0.74,4.24,1,1.0,0.316,6
3TVX,2QYK,PNX,40,2,2,2.47,9.64,3,NA,NA,0,1,1,2.74,18.96,1,NA,NA,0
3RX3,1XGD,SUZ,25,1,1,1.77,6.21,1,1.0,0.033,1,1,1,0.65,5.49,1,NA,NA,0
5V1M,4H7W,U5P,32,1,1,1.16,3.67,1,1.0,0.125,3,1,1,1.14,3.9,1,1.0,0.111,3
6Q6O,6R7K,CHD,58,2,2,1.26,5.56,2,1.0,0.091,1,3,3,1.75,8.11,3,0.273,0.167,11
6GH9,7R2G,MIX,32,0,11,4.59,9.93,11,0.0,0.0,1,0,0,5.88,11.29,6,0.0,0.0,2
8HJE,6HEI,VIS,27,1,1,0.79,1.54,1,1.0,0.071,2,2,1,1.65,3.96,2,0.0,0.0,3
2XP2,4ANL,VGH,30,1,1,0.55,3.63,1,0.75,0.2,4,1,1,0.34,3.63,1,0.6,0.176,5
2Y05,9D71,RAL,68,11,11,2.12,6.93,11,0.333,0.154,6,0,0,6.34,11.66,1,0.5,0.022,2
7AXA,3CTB,CL6,50,1,1,1.2,3.24,1,1.0,0.029,1,1,1,1.09,2.76,1,1.0,0.036,1
1AVN,5Y2S,HSM,8,1,1,3.04,4.61,1,NA,NA,0,1,1,3.15,4.71,1,NA,NA,0
7XPY,5C6D,EIB,33,0,0,25.08,28.91,5,0.0,0.0,5,0,0,6.89,11.76,1,0.2,0.083,5
6YG2,6YFZ,1E8,33,1,1,0.71,2.71,1,1.0,0.056,1,0,0,15.71,17.46,1,0.0,0.0,4
4ODR,3CGN,FK5,114,1,1,0.74,10.56,1,0.5,0.067,2,2,2,0.96,11.01,2,0.75,0.273,4
3TC5,4TNS,3T5,32,1,1,1.28,2.45,1,1.0,0.062,1,1,1,1.13,3.5,1,1.0,0.143,2
1GS4,8E1A,ZK5,27,1,1,0.96,0.73,1,1.0,0.111,2,1,1,0.6,0.76,1,1.0,0.091,2
4R7L,3U9W,SHH,19,0,0,6.1,8.12,8,0.0,0.0,3,0,0,6.91,8.92,11,0.0,0.0,2
9XRI,5WS7,16V,126,2,1,0.46,2.71,2,0.083,0.031,12,2,1,0.74,2.52,3,0.167,0.038,6
